drug_name,active_ingredient,drug_classes,original_conditions
clobevate,clobetasol,Topical steroids,Eczema
clobex,clobetasol topical,Topical steroids,Atopic Dermatitis|Dermatitis|Eczema|Lichen Planus|Lichen Sclerosus|Psoriasis
clocortolone,clocortolone topical,Topical steroids,Atopic Dermatitis|Dermatitis|Eczema|Psoriasis
clodan,clobetasol topical,Topical steroids,Eczema
cloderm,clocortolone topical,Topical steroids,Atopic Dermatitis|Dermatitis|Eczema|Psoriasis
clonidine,clonidine,"Antiadrenergic agents, centrally acting","ADHD|ADHD (Attention Deficit Hyperactivity Disorder)|Alcohol Withdrawal|Anxiety|Atrial Fibrillation|Benzodiazepine Withdrawal|Bipolar Disorde|High Blood Pressure|High Blood Pressure (Hypertension)|Hyperhidrosis|Hypertensive Emergency|Insomnia, Stimulant-Associated|Migraine Prevention|Opiate Withdrawal|Perimenopausal Symptoms|Pheochromocytoma Diagnosis|Postanesthetic Shivering|Postherpetic Neuralgia|Postural Orthostatic Tachycardia Syndrome|Restless Legs Syndrome|Smoking Cessation|Tardive Dyskinesia|Tourette's Syndrome|Ulcerative Colitis"
clopidogrel,clopidogrel,Platelet aggregation inhibitors,"Acute Coronary Syndrome|Acute Coronary Syndrome, Prophylaxis|Heart Attack|Heart Attack (Myocardial Infarction)|Ischemic Stroke|Ischemic Stroke, Prophylaxis|Myocardial Infarction, Prophylaxis|Percutaneous Coronary Intervention|Peripheral Arterial Disease|Platelet Aggregation Inhibition|Stroke|Transient Ischemic Attack"
clorazepate,clorazepate,Benzodiazepines,Alcohol Withdrawal|Anxiety|Seizure Prevention|Seizure Prevention (Seizure Prophylaxis)
clozapine,clozapine,Atypical antipsychotics,Borderline Personality Disorde|Borderline Personality Disorder|Not Listed / Othe|Paranoid Disorde|Paranoid Disorder|Schizophrenia
clozaril,clozapine,Atypical antipsychotics,Schizophrenia
coal tar,coal tar topical,Miscellaneous topical agents,Dermatitis|Psoriasis|Seborrheic Dermatitis
cobicistat,cobicistat,Antiviral boosters,AIDS/HIV
colace,docusate,Laxatives,Constipation
colace micro-enema,docusate enema,Laxatives,Constipation
cold multi-symptom (nighttime),acetaminophen/chlorpheniramine/dextromethorphan/phenylephrine caps & tabs,Upper respiratory combinations,Colds & Flu
colesevelam,colesevelam,Bile acid sequestrants,"Cholesterol|Diabetes, Type 2|Diarrhea, Chronic|High Cholesterol|Hyperlipoproteinemia|Hyperlipoproteinemia Type IIa, Elevated LDL"
compound w,salicylic acid topical,"Topical acne agents, Topical keratolytics",Acne
compoz nighttime sleep aid,diphenhydramine,"Anticholinergic antiemetics, Anticholinergic antiparkinson agents, Antihistamines, Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
compro,prochlorperazine,"Phenothiazine antiemetics, Phenothiazine antipsychotics",Anxiety|Nausea/Vomiting
comtrex nighttime cold & cough,acetaminophen/chlorpheniramine/dextromethorphan/phenylephrine caps & tabs,Upper respiratory combinations,Colds & Flu
concerta,methylphenidate,CNS stimulants,ADHD|Narcolepsy|atigue
conjugated estrogens,conjugated estrogens,Estrogens,"Abnormal Uterine Bleeding|Atrophic Urethritis|Atrophic Vaginitis|Breast Cancer, Palliative|Gender Dysphoria|Hypoestrogenism|Oophorectomy|Osteoporosis|Postmenopausal Symptoms|Primary Ovarian Failure"
conjupri,levamlodipine,Calcium channel blocking agents,Hypertension
conzip,tramadol,Opioids (narcotic analgesics),Pain
cordran,flurandrenolide topical,Topical steroids,Eczema
cordran sp,flurandrenolide topical,Topical steroids,Eczema
cordran tape,flurandrenolide topical,Topical steroids,Atopic Dermatitis|Dermatitis|Eczema|Psoriasis
coreg,carvedilol,Non-cardioselective beta blockers,Angina|Atrial Fibrillation|Heart Failure|High Blood Pressure|Left Ventricular Dysfunction
coreg cr,carvedilol,Non-cardioselective beta blockers,Angina|Atrial Fibrillation|Heart Failure|High Blood Pressure
corgard,nadolol,Non-cardioselective beta blockers,Angina|High Blood Pressure|Migraine Prevention|Supraventricular Tachycardia
cormax,clobetasol,Topical steroids,Eczema
cormax scalp,clobetasol,Topical steroids,Eczema
cortef,hydrocortisone,Glucocorticoids,Adrenocortical Insufficiency|IBD (Bowel)
corticotropin,corticotropin,Corticotropin,Allergies|Chorioditis|Chorioretinitis|Erythema Mulitforme|Eye Conditions|Focal Segmental Glomerulosclerosis|Inflammatory Bowel Disease|Iridocyclitis|Iritis|Keratitis|Multiple Sclerosis|Optic Neuritis|Polymyositis/Dermatomyositis|Rheumatoid Arthritis|Sarcoidosis|Serum Sickness|Stevens-Johnson Syndrome|West Syndrome|cal Segmental Glomerulosclerosis
cortizone-10,hydrocortisone,Topical steroids,Eczema|Pruritus
cortizone-5,hydrocortisone topical,Topical steroids,Eczema
cosmegen,dactinomycin,Antibiotics / antineoplastics,Cancer
cotempla xr-odt,methylphenidate,CNS stimulants,ADHD
cozaar,losartan,Angiotensin receptor blockers,Diabetic Kidney Disease|High Blood Pressure|Hypertension
cr-gtf,chromium picolinate,Minerals and electrolytes,Diabetes (Type 2)
crestor,rosuvastatin,Statins,"Atherosclerosis|Cholesterol|High Cholesterol|High Cholesterol, Familial Heterozygous|High Cholesterol, Familial Homozygous|Prevention of Cardiovascular Disease"
crm,chromium picolinate,Minerals and electrolytes,Diabetes (Type 2)
crofelemer,crofelemer,Antidiarrheals,Diarrhea
cromolyn,cromolyn sodium,Nasal antihistamines and decongestants,"Asthma, Maintenance|Conjunctivitis, Allergic|Hayfever|IBD (Bowel)|Inflammatory Bowel Disease|Keratoconjunctivitis|Systemic Mastocytosis"
cuprimine,penicillamine,Antirheumatics,Rheumatoid Arthritis
cutar,coal tar,Miscellaneous topical agents,Dermatitis|Psoriasis|Seborrheic Dermatitis
cutivate,fluticasone topical,Topical steroids,Atopic Dermatitis|Eczema|Lichen Sclerosus
cyclocort,amcinonide topical,Topical steroids,Eczema
cycloset,bromocriptine,"Dopaminergic antiparkinsonism agents, Prolactin inhibitors",Diabetes (Type 2)
cyclosporine,cyclosporine,Calcineurin inhibitors,"Cogan's Syndrome|Crohn's Disease|Dry Eye Disease (Keratoconjunctivitis Sicca)|Eczema|Evan's Syndrome|Focal Segmental Glomerulosclerosis|Graft-versus-host disease|Idiopathic Thrombocytopenic Purpura|Inflammatory Bowel Disease|Keratoconjunctivitis Sicca|Nephrotic Syndrome|Organ Transplant, Rejection Prophylaxis|Pemphigus|Psoriasis|Ulcerative Colitis, Active"
cymbalta,duloxetine,Serotonin-norepinephrine reuptake inhibitors,Anxiety|Back Pain|Bipolar Disorde|Chronic Fatigue Syndrome|Chronic Pain|Depression|Diabetic Peripheral Neuropathy|Generalized Anxiety Disorde|Hot Flashes|Major Depressive Disorde|Osteoarthritis|Pain|Peripheral Neuropathy|Urinary Incontinence|ibromyalgia
cytomel,liothyronine,Thyroid drugs,"Hypothyroidism|Hypothyroidism, After Thyroid Removal|Underactive Thyroid"
d-penamine,penicillamine,Antirheumatics,Rheumatoid Arthritis
d.h.e. 45,dihydroergotamine,Antimigraine agents,Cluster Headaches|Migraine
dactinomycin,dactinomycin,Antibiotics / antineoplastics,Cancer|Ewing's Sarcoma|Osteosarcoma|Rhabdomyosarcoma|Testicular Cancer|Trophoblastic Disease|Wilms' Tumor (Nephroblastoma)
daliresp,roflumilast,Selective phosphodiesterase-4 inhibitors,"COPD|COPD, Maintenance"
dalteparin,dalteparin,Heparins,"Angina|Deep Vein Thrombosis Prophylaxis after Abdominal Surgery|Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery|Deep Vein Thrombosis Prophylaxis after Orthopedic Surgery|Deep Vein Thrombosis, Prophylaxis|Venous Thromboembolism"
dapsone,dapsone topical,Topical acne agents,"Acne|Bullous Pemphigoid|Dermatitis Herpetiformis|Leprosy|Leprosy, Lepromatous|Leprosy, Tuberculoid|Leukocytoclastic Vasculitis|Linear IgA Disease|Pemphigoid|Pemphigus|Pneumocystis Pneumonia|Pneumocystis Pneumonia Prophylaxis|Toxoplasmosis, Prophylaxis|mis"
daridorexant,daridorexant,"Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
darunavir,darunavir,Protease inhibitors,AIDS/HIV|HIV Infection
daypro,oxaprozin,Nonsteroidal anti-inflammatory drugs,Osteoarthritis|Rheumatoid Arthritis
daytrana,methylphenidate,CNS stimulants,ADHD
dayvigo,lemborexant,"Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
dazidox,oxycodone,Opioids (narcotic analgesics),Chronic Pain|Pain
de-sone la,dexamethasone,Glucocorticoids,Asthma
delafloxacin,delafloxacin,Quinolones,Pneumonia
delzicol,mesalamine,5-aminosalicylates,"IBD (Bowel)|Ulcerative Colitis|Ulcerative Colitis, Active"
demadex,torsemide,Loop diuretics,Edema|Hypertension
demerol,meperidine,Opioids (narcotic analgesics),Light Sedation|Pain
denosumab,denosumab,Miscellaneous bone resorption inhibitors,Giant Cell Tumor of Bone|Hypercalcemia of Malignancy|Osteolytic Bone Lesions of Multiple Myeloma|Osteolytic Bone Metastases of Solid Tumors|Osteoporosis
denti-care denti-freeze,benzocaine,Topical anesthetics,Pain
depakote,divalproex sodium,Fatty acid derivative anticonvulsants,Bipolar Disorde|Bipolar Disorder|Epilepsy|Hyperekplexia|Mania|Migraine Prevention
depakote er,divalproex sodium,Fatty acid derivative anticonvulsants,Bipolar Disorde|Bipolar Disorder|Epilepsy|Mania|Migraine Prevention
depakote sprinkles,divalproex sodium,Fatty acid derivative anticonvulsants,Bipolar Disorder|Mania
depen,penicillamine,Antirheumatics,Rheumatoid Arthritis
deplin,l-methylfolate,Vitamins,Borderline Personality Disorde|Depression|lic Acid Deficiency
depo-medrol,methylprednisolone,Glucocorticoids,Asthma|Inflammatory Conditions|Osteoarthritis|Rheumatoid Arthritis
derma-smoothe / fs (body oil),fluocinolone topical oil,,Eczema
derma-smoothe / fs (scalp),fluocinolone topical oil,Topical steroids,Eczema|Seborrheic Dermatitis
dermacinrx lido v pak,lidocaine,Topical anesthetics,Pain
dermacinrx lidotral﻿,lidocaine hydrochloride,Topical anesthetics,Pain
dermacinrx trizapak,triamcinolone acetonide,Topical steroids,Eczema
dermalzone,salicylic acid topical,"Topical acne agents, Topical keratolytics",Acne
dermarest plus anti-itch,hydrocortisone topical,Topical steroids,Eczema
dermasorb ta,triamcinolone topical,Topical steroids,Eczema
dermoplast,benzocaine topical,Topical anesthetics,Pain
dermotic oil,fluocinolone otic,Otic steroids,Eczema
dermovate,clobetasol,Topical steroids,Eczema
dermtex hc,hydrocortisone topical,Topical steroids,Eczema
desipramine,desipramine,Tricyclic antidepressants,ADHD|Depression|Irritable Bowel Syndrome|Vulvodynia
desloratadine,desloratadine,Antihistamines,Allergic Rhinitis|Hayfever|Urticaria
desonate,desonide topical,Topical steroids,Eczema
desonide,desonide topical,Topical steroids,Atopic Dermatitis|Dermatitis|Eczema|Psoriasis
desowen,desonide topical,Topical steroids,Eczema|Psoriasis
desoximetasone,desoximetasone topical,Topical steroids,Atopic Dermatitis|Dermatitis|Eczema|Psoriasis
desoxyn,methamphetamine,"Anorexiants, CNS stimulants",ADHD|Obesity
desvenlafaxine,desvenlafaxine,Serotonin-norepinephrine reuptake inhibitors,ADHD|Anxiety|Bipolar Disorde|Depression|Hot Flashes|Major Depressive Disorde|Narcolepsy|Neuralgia|Not Listed / Othe|Obesity|Panic Disorde|Post Traumatic Stress Disorde|Post Traumatic Stress Disorder|Postmenopausal Symptoms|Somatoform Pain Disorder|ibromyalgia
desyrel,trazodone,Phenylpiperazine antidepressants,Anxiety|Depression|Insomnia|Major Depressive Disorde|Sedation|ibromyalgia
desyrel dividose,trazodone,Phenylpiperazine antidepressants,Depression|Insomnia|Sedation
detrol,tolterodine,Urinary antispasmodics,Incontinence|Overactive Bladde|Urinary Incontinence
detrol la,tolterodine,Urinary antispasmodics,Incontinence|Overactive Bladde|Urinary Incontinence
dexamethasone,dexamethasone,Glucocorticoids,"Acute Otitis Externa|Addison's Disease|Adrenal Insufficiency|Adrenocortical Insufficiency|Adrenogenital Syndrome|Allergic Rhinitis|Aphthous Ulce|Aphthous Ulcer|Aspiration Pneumonia|Asthma|Asthma, acute|Atopic Dermatitis|Bronchopulmonary Dysplasia|Bursitis|Cerebral Edema|Chorioretinitis|Conjunctivitis|Crohn's Disease, Acute|Croup|Cushing's Syndrome|Cyclitis|Dermatitis Herpeti|Dermatitis Herpetiformis|Diabetic Macular Edema|Eczema|Epicondylitis, Tennis Elbow|Erythroblastopenia|Evan's Syndrome|Gouty Arthritis|Hemolytic Anemia|Hypercalcemia of Malignancy|Idiopathic Thrombocytopenic Purpura|Inflammatory Bowel Disease|Inflammatory Conditions|Iridocyclitis|Iritis|Juvenile Rheumatoid Arthritis|Keratitis|Leukemia|Loeffler's Syndrome (Pulmonary Eosinophilia)|Lymphoma|Macular Edema|Meningitis, Haemophilus influenzae|Meningitis, Listeriosis|Meningitis, Meningococcal|Meningitis, Pneumococcal|Mountain Sickness / Altitude Sickness|Multiple Myeloma|Multiple Sclerosis|Mycosis Fungoides|Nausea/Vomiting, Chemotherapy Induced|Neurosarcoidosis|Not Listed / Othe|Pemphigus|Plaque Psoriasis|Postoperative Ocular Inflammation|Psoriatic Arthritis|Pulmonary Tuberculosis|Sarcoidosis|Seborrheic Dermatitis|Shock|Synovitis|Systemic Lupus Erythematosus|Thrombocytopenia|Toxic Epidermal Necrolysis|Transverse Myelitis|Tuberculous Meningitis|Ulcerative Colitis|Uveitis|Uveitis, Posterior"
dexamethasone intensol,dexamethasone,Glucocorticoids,"Asthma|Inflammatory Conditions|Nausea/Vomiting, Chemotherapy Induced"
dexbrompheniramine,dexbrompheniramine,Antihistamines,Allergies
dexchlorpheniramine,dexchlorpheniramine,Antihistamines,Allergic Reactions|Allergic Rhinitis|Hayfever
dexedrine,dextroamphetamine,CNS stimulants,"ADHD|Hypersomnia|Narcolepsy|Sexual Dysfunction, SSRI Induced"
dexilant,dexlansoprazole,Proton pump inhibitors,Barrett's Esophagus|Erosive Esophagitis|GERD|GERD (Heartburn)
dexlansoprazole,dexlansoprazole,Proton pump inhibitors,Barrett's Esophagus|Erosive Esophagitis|GERD|GERD (Heartburn)
dexmethylphenidate,dexmethylphenidate,CNS stimulants,ADHD|Auditory Processing Disorde|Auditory Processing Disorder
dextroamphetamine,dextroamphetamine,CNS stimulants,"ADHD|ADHD (Attention Deficit Hyperactivity Disorder)|Drowsiness (Hypersomnia)|Fatigue|Hypersomnia|Narcolepsy|Sexual Dysfunction, SSRI Induced|atigue"
dhs salicylic acid 3%,salicylic acid,"Topical acne agents, Topical keratolytics",Acne
dhs tar shampoo,coal tar topical,Miscellaneous topical agents,Psoriasis
diabeta,glyburide,Sulfonylureas,Diabetes (Type 2)
diamode,loperamide,Antidiarrheals,Diarrhea
diastat,diazepam,Benzodiazepine anticonvulsants,Muscle Spasm|Seizures
diazepam,diazepam,"Benzodiazepine anticonvulsants, Benzodiazepines",Alcohol Withdrawal|Anxiety|Borderline Personality Disorde|Borderline Personality Disorder|Endoscopy or Radiology Premedication|Hyperekplexia|ICU Agitation|Light Anesthesia|Light Sedation|Meniere's Disease|Muscle Spasm|Muscle Spasm (Involuntary Hypertonicity)|Night Terrors|Not Listed / Othe|Seizure Prevention|Seizure Prevention (Seizure Prophylaxis)|Seizures|Seizures (Convulsions)|Status Epilepticus|Temporomandibular Joint Disorde|Temporomandibular Joint Disorder|Tetanus
diazepam intensol,diazepam,"Benzodiazepine anticonvulsants, Benzodiazepines",Anxiety|Muscle Spasm
diclofenac,diclofenac topical,Topical non-steroidal anti-inflammatories,Ankylosing Spondylitis|Aseptic Necrosis|Back Pain|Conjunctivitis|Corneal Ulcer|Frozen Shoulder|Inhibition of Intraoperative Miosis|Keratoconjunctivitis|Keratosis|Migraine|Muscle Pain|Not Listed / Othe|Osteoarthritis|Pain|Period Pain|Period Pain (Dysmenorrhea)|Postoperative Ocular Inflammation|Rheumatoid Arthritis|Sciatica|Spondyloarthritis|zen Shoulde
dicloxacillin,dicloxacillin,Penicillinase resistant penicillins,Bone infection|Bone infection (Osteomyelitis)|Bronchitis|Pharyngitis|Skin or Soft Tissue Infection
dicopanol,diphenhydramine hydrochloride,"Anticholinergic antiemetics, Anticholinergic antiparkinson agents, Antihistamines, Miscellaneous anxiolytics, sedatives and hypnotics",Colds & Flu
differin,adapalene topical,Topical acne agents,Acne
diflorasone,diflorasone topical,Topical steroids,Eczema|Skin Rash
diflunisal,diflunisal,"Nonsteroidal anti-inflammatory drugs, Salicylates",Osteoarthritis|Pain|Rheumatoid Arthritis
dihydroergotamine,dihydroergotamine,Antimigraine agents,Cluster Headaches|Migraine
dilacor xr,diltiazem,"Calcium channel blocking agents, Group IV antiarrhythmics",Hypertension
dilantin,phenytoin,"Group I antiarrhythmics, Hydantoin anticonvulsants",Anxiety|Epilepsy|Neurosurgery|Peripheral Neuropathy|Seizures|Trigeminal Neuralgia
dilaudid,hydromorphone,Opioids (narcotic analgesics),Chronic Pain|Cough|Pain
dilt-xr,diltiazem,"Calcium channel blocking agents, Group IV antiarrhythmics",Atrial Fibrillation|Hypertension
diltia xt,diltiazem,"Calcium channel blocking agents, Group IV antiarrhythmics",Hypertension
diltiazem,diltiazem,"Calcium channel blocking agents, Group IV antiarrhythmics",Angina Pectoris Prophylaxis|Atrial Fibrillation|Atrial Flutte|Atrial Flutter|High Blood Pressure|Hypertension|Not Listed / Othe|Raynaud's Syndrome|Supraventricular Tachycardia
diltzac,diltiazem,"Calcium channel blocking agents, Group IV antiarrhythmics",Hypertension
diovan,valsartan,Angiotensin receptor blockers,High Blood Pressure|Hypertension|Left Ventricular Dysfunction
diphedryl,diphenhydramine,"Anticholinergic antiemetics, Anticholinergic antiparkinson agents, Antihistamines, Miscellaneous anxiolytics, sedatives and hypnotics",Colds & Flu
diphen,diphenhydramine hydrochloride,"Anticholinergic antiemetics, Anticholinergic antiparkinson agents, Antihistamines, Miscellaneous anxiolytics, sedatives and hypnotics",Colds & Flu
diphenhydramine,diphenhydramine,"Anticholinergic antiemetics, Anticholinergic antiparkinson agents, Antihistamines, Miscellaneous anxiolytics, sedatives and hypnotics",Allergic Reactions|Allergic Rhinitis|Cold Symptoms|Colds & Flu|Cough|Eustachian Tube Dysfunction|Extrapyramidal Reaction|Insomnia|Motion Sickness|Nausea/Vomiting|Pain|Pruritus|Urticaria
ditropan xl,oxybutynin,Urinary antispasmodics,Incontinence|Overactive Bladde|Prostatitis
diuril,chlorothiazide,Thiazide diuretics,Hypertension
diuril sodium,chlorothiazide,Thiazide diuretics,Hypertension
divalproex sodium,divalproex sodium,Fatty acid derivative anticonvulsants,Bipolar Disorde|Bipolar Disorder|Borderline Personality Disorde|Borderline Personality Disorder|Cyclothymic Disorder|Epilepsy|Hyperekplexia|Mania|Migraine Prevention|Migraine Prevention (Migraine Prophylaxis)|Not Listed / Othe
doak tar,coal tar,Miscellaneous topical agents,Psoriasis
doan's pills,magnesium salicylate,Salicylates,Pain
doans pills extra strength,magnesium salicylate,Salicylates,Inflammatory Conditions|Pain
docosanol,docosanol topical,Topical anti-infectives,Herpes|Herpes Simplex
docusate,docusate,Laxatives,Constipation
dok,docusate,Laxatives,Constipation
dolobid,diflunisal,"Nonsteroidal anti-inflammatory drugs, Salicylates",Osteoarthritis|Pain|Rheumatoid Arthritis
dolutegravir,dolutegravir,Integrase strand transfer inhibitor,AIDS/HIV|HIV Infection
donepezil,donepezil,Cholinesterase inhibitors,Alzheimer's|Alzheimer's Disease|Lewy Body Dementia|Mild Cognitive Impairment
doral,quazepam,Benzodiazepines,Insomnia
doravirine,doravirine,NNRTIs,AIDS/HIV
doryx,doxycycline,"Miscellaneous antimalarials, Tetracyclines","Acne|Bronchiectasis|Lyme Disease, Neurologic|Rosacea|Upper Respiratory Tract Infection|Urinary Tract Infection"
doryx mpc,doxycycline,,Acne
dovonex,calcipotriene topical,Topical antipsoriatics,Plaque Psoriasis|Psoriasis
doxazosin,doxazosin,"Alpha-adrenoreceptor antagonists, Antiadrenergic agents, peripherally acting",Benign Prostatic Hyperplasia|High Blood Pressure|Hypertension|Not Listed / Othe|Raynaud's Syndrome
doxycycline,doxycycline,"Miscellaneous antimalarials, Tetracyclines","Acne|Actinomycosis|Amebiasis|Anthrax|Anthrax Prophylaxis|Bacterial Infection|Bartonellosis|Bronchiectasis|Bronchitis|Brucellosis|Bullous Pemphigoid|Cervicitis|Chancroid|Chlamydia Infection|Cholera|Cutaneous Bacillus anthracis|Ehrlichiosis|Enterocolitis|Epididymitis, Sexually Transmitted|Gastroenteritis|Gonococcal Infection, Uncomplicated|Granuloma Inguinale|Inclusion Conjunctivitis|Lyme Disease|Lyme Disease, Arthritis|Lyme Disease, Carditis|Lyme Disease, Erythema Chronicum Migrans|Lyme Disease, Neurologic|Lymphogranuloma Venereum|Malaria|Malaria Prevention|Malaria Prevention (Malaria Prophylaxis)|Melioidosis|Mycoplasma Pneumonia|Nongonococcal Urethritis|Not Listed / Othe|Ocular Rosacea|Ornithosis|Pelvic Inflammatory Disease|Pemphigoid|Pemphigus|Periodontitis|Plague|Pleural Effusion|Pneumonia|Proctitis|Prostatitis|Psittacosis|Q Feve|Q Fever|Rabbit Fever (Tularemia)|Rheumatoid Arthritis|Rickettsial Infection|Rosacea|STD Prophylaxis|Skin or Soft Tissue Infection|Syphilis, Early|Syphilis, Latent|Tertiary Syphilis|Trachoma|Upper Respiratory Tract Infection|Urinary Tract Infection"
doxylamine,doxylamine,"Miscellaneous anxiolytics, sedatives and hypnotics","Allergies|Conjunctivitis, Allergic|Insomnia|Not Listed / Othe|Rhinorrhea"
dritho-scalp,anthralin,Topical antipsoriatics,Psoriasis
drithocreme,anthralin,Topical antipsoriatics,Psoriasis
drituss g,guaifenesin,Expectorants,Bronchitis
dulaglutide,dulaglutide,Incretin mimetics,"Diabetes (Type 2)|Diabetes, Type 2"
duloxetine,duloxetine,Serotonin-norepinephrine reuptake inhibitors,Anxiety|Back Pain|Bipolar Disorde|Chronic Fatigue Syndrome|Chronic Pain|Depression|Diabetic Peripheral Neuropathy|Fibromyalgia|Generalized Anxiety Disorde|Generalized Anxiety Disorder|Hot Flashes|Major Depressive Disorde|Major Depressive Disorder|Not Listed / Othe|Osteoarthritis|Pain|Peripheral Neuropathy|Persistent Depressive Disorde|Persistent Depressive Disorder|Small Fiber Neuropathy|Somatoform Pain Disorder|Urinary Incontinence|ibromyalgia
duraclon,clonidine,"Antiadrenergic agents, centrally acting",Pain
duramorph,morphine,Opioids (narcotic analgesics),Chronic Pain|Pain
duramorph pf,morphine,Opioids (narcotic analgesics),Pain
durasal,salicylic acid,"Topical acne agents, Topical keratolytics",Acne
duricef,cefadroxil,First generation cephalosporins,UTI
durolane,sodium hyaluronate,Viscosupplementation agents,Osteoarthritis
dxevo,dexamethasone,Glucocorticoids,Asthma
dyanavel xr,amphetamine,CNS stimulants,ADHD
dycill,dicloxacillin,Penicillinase resistant penicillins,Bronchitis
dynacin,minocycline,Tetracyclines,Acne
dynapen,dicloxacillin,Penicillinase resistant penicillins,Bronchitis
dytuss,diphenhydramine,"Anticholinergic antiemetics, Anticholinergic antiparkinson agents, Antihistamines, Miscellaneous anxiolytics, sedatives and hypnotics",Colds & Flu
e-400 clear,vitamin e,Vitamins,Alzheimer's
e-600,vitamin e,Vitamins,Alzheimer's
e-gems,vitamin e,Vitamins,Alzheimer's
e.e.s. granules,erythromycin,Macrolides,Bronchitis
easprin,aspirin,"Platelet aggregation inhibitors, Salicylates",Angina
ec-naprosyn,naproxen,Nonsteroidal anti-inflammatory drugs,Osteoarthritis
ecotrin,aspirin,"Platelet aggregation inhibitors, Salicylates",Angina
ecpirin,aspirin,"Platelet aggregation inhibitors, Salicylates",Angina
ed chlor ped jr.,chlorpheniramine,Antihistamines,Colds & Flu
ed chlorped,chlorpheniramine,Antihistamines,Colds & Flu
ed-chlortan,chlorpheniramine,Antihistamines,Colds & Flu
edex,alprostadil,"Impotence agents, Vasodilators",Erectile Dysfunction
edluar,zolpidem,"Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
edurant,rilpivirine,NNRTIs,AIDS/HIV
efavirenz,efavirenz,NNRTIs,AIDS/HIV|HIV Infection|Nonoccupational Exposure|Occupational Exposure
effexor xr,venlafaxine,Serotonin-norepinephrine reuptake inhibitors,Anxiety|Anxiety and Stress|Bipolar Disorde|Bulimia|Depression|Generalized Anxiety Disorde|Hot Flashes|Irritable Bowel Syndrome|Major Depressive Disorde|Obsessive Compulsive Disorde|Panic Disorde|Postpartum Depression|Premenstrual Dysphoric Disorde|Social Anxiety Disorde|Vulvodynia|ibromyalgia
eha lotion,lidocaine hydrochloride,Topical anesthetics,Pain
elepsia xr,levetiracetam,Pyrrolidine anticonvulsants,Seizures
eletriptan,eletriptan,Antimigraine agents,Migraine
elidel,pimecrolimus topical,Miscellaneous topical agents,Atopic Dermatitis|Eczema|Perioral Dermatitis
elta tar,coal tar topical,Miscellaneous topical agents,Psoriasis
elyxyb,celecoxib,Cox-2 inhibitors,Migraine
embeline,clobetasol,Topical steroids,Eczema|Psoriasis
embeline e,clobetasol,Topical steroids,Eczema
emcin clear,erythromycin topical,"Topical acne agents, Topical antibiotics",Acne
empagliflozin,empagliflozin,SGLT-2 inhibitors,"Cardiovascular Risk Reduction|Diabetes (Type 2)|Diabetes, Type 2"
emsam,selegiline,"Dopaminergic antiparkinsonism agents, Monoamine oxidase inhibitors",Depression|Major Depressive Disorde
emtricitabine,emtricitabine,Nucleoside reverse transcriptase inhibitors (NRTIs),AIDS/HIV|Occupational Exposure
emtriva,emtricitabine,Nucleoside reverse transcriptase inhibitors (NRTIs),AIDS/HIV
enalapril,enalapril,Angiotensin Converting Enzyme Inhibitors,Alport Syndrome|Diabetic Kidney Disease|Diabetic Kidney Disease (Diabetic Nephropathy)|High Blood Pressure|High Blood Pressure (Hypertension)|Hypertension|Hypertensive Emergency|Left Ventricular Dysfunction|Polycystic Kidney Disease
enbrel,etanercept,"Antirheumatics, TNF alfa inhibitors",Ankylosing Spondylitis|Behcet's Disease|Juvenile Idiopathic Arthritis|Juvenile Rheumatoid Arthritis|Plaque Psoriasis|Psoriasis|Psoriatic Arthritis|Rheumatoid Arthritis|Still's Disease
enemeez mini,docusate enema,Laxatives,Constipation
enfuvirtide,enfuvirtide,Miscellaneous antivirals,AIDS/HIV|HIV Infection
enoxaparin,enoxaparin,Heparins,"Acute Coronary Syndrome|Angina|Deep Vein Thrombosis|Deep Vein Thrombosis Prophylaxis after Abdominal Surgery|Deep Vein Thrombosis Prophylaxis after Hip Replacement Surgery|Deep Vein Thrombosis Prophylaxis after Knee Replacement Surgery|Deep Vein Thrombosis, Prophylaxis|Heart Attack (Myocardial Infarction)"
entercote,aspirin,"Platelet aggregation inhibitors, Salicylates",Angina
entereg,alvimopan,Peripheral opioid receptor antagonists,Gastrointestinal
entocort ec,budesonide,Glucocorticoids,"Crohn's Disease|Crohn's Disease, Acute|Crohn's Disease, Maintenance|Eosinophilic Esophagitis|IBD (Bowel)|Inflammatory Bowel Disease"
enzoclear foam,benzoyl peroxide,Topical acne agents,Acne
epaned,enalapril,Angiotensin Converting Enzyme Inhibitors,Hypertension
epivir,lamivudine,Nucleoside reverse transcriptase inhibitors (NRTIs),AIDS/HIV|HIV Infection
epivir-hbv,lamivudine,Nucleoside reverse transcriptase inhibitors (NRTIs),AIDS/HIV|Hepatitis B
eplerenone,eplerenone,"Aldosterone receptor antagonists, Potassium-sparing diuretics",High Blood Pressure|Hypertension
eprontia,topiramate,Carbonic anhydrase inhibitor anticonvulsants,Seizures
eptifibatide,eptifibatide,Glycoprotein platelet inhibitors,Acute Coronary Syndrome|Angina|Percutaneous Coronary Intervention
equalactin,polycarbophil,Laxatives,Constipation
