drug_name,active_ingredient,drug_classes,original_conditions
rizatriptan,rizatriptan,Antimigraine agents,Migraine|Not Listed / Othe
robafen,guaifenesin,Expectorants,Bronchitis
roflumilast,roflumilast,Selective phosphodiesterase-4 inhibitors,"COPD|COPD, Maintenance"
rogaine,minoxidil topical,Miscellaneous topical agents,Alopecia|Hair Loss
rogaine men's extra strength,minoxidil,Miscellaneous topical agents,Alopecia|Hair Loss
rogaine women's,minoxidil,Miscellaneous topical agents,Alopecia|Hair Loss
romosozumab,romosozumab,Miscellaneous bone resorption inhibitors,Osteoporosis
roxicodone,oxycodone,Opioids (narcotic analgesics),Chronic Pain|Pain
roxybond,oxycodone,Opioids (narcotic analgesics),Pain
rozerem,ramelteon,"Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
rukobia,fostemsavir,Miscellaneous antivirals,AIDS/HIV
rybelsus,semaglutide,Incretin mimetics,Diabetes (Type 2)
ryclora,dexchlorpheniramine,Antihistamines,Hayfever
ryvent,carbinoxamine,Antihistamines,Hayfever
sabril,vigabatrin,Gamma-aminobutyric acid analogs,Seizures
saccharomyces boulardii lyo,saccharomyces boulardii lyo,"Antidiarrheals, Probiotics",Diarrhea
saccharomyces boulardii+mos,saccharomyces boulardii lyo,Probiotics,Diarrhea
sal-plant gel,salicylic acid,"Topical acne agents, Topical keratolytics",Acne
salactic film,salicylic acid,"Topical acne agents, Topical keratolytics",Acne
salex,salicylic acid topical,"Topical acne agents, Topical keratolytics",Acne
salicylic acid,salicylic acid topical,"Topical acne agents, Topical keratolytics",Acne|Dandruff|Dermatological Disorders|Warts
salonpas pain patch,methyl salicylate topical,Topical rubefacient,Muscle Pain|Osteoarthritis
salvax,salicylic acid,"Topical acne agents, Topical keratolytics",Acne
sani-supp,glycerin,Laxatives,Constipation
saphris,asenapine,Atypical antipsychotics,Bipolar Disorde|Bipolar Disorder|Post Traumatic Stress Disorde|Schizoaffective Disorde|Schizophrenia
saquinavir,saquinavir,Protease inhibitors,AIDS/HIV
sarecycline,sarecycline,Tetracyclines,Acne
sarilumab,sarilumab,"Antirheumatics, Interleukin inhibitors",Rheumatoid Arthritis
sarna sensitive,pramoxine lotion,Topical anesthetics,Anal Itching|Pain|Pruritus
sarnol-hc,hydrocortisone topical,Topical steroids,Eczema
satogesic,methyl salicylate topical,Topical rubefacient,Osteoarthritis
saxagliptin,saxagliptin,Dipeptidyl peptidase 4 inhibitors,"Diabetes (Type 2)|Diabetes, Type 2"
saxenda,liraglutide,Incretin mimetics,Obesity|Weight Loss
scalpicin scalp relief,salicylic acid topical,"Topical acne agents, Topical keratolytics",Acne
scot-tussin allergy,diphenhydramine,"Anticholinergic antiemetics, Anticholinergic antiparkinson agents, Antihistamines, Miscellaneous anxiolytics, sedatives and hypnotics",Colds & Flu
scot-tussin expectorant,guaifenesin,Expectorants,Bronchitis
secuado,asenapine,Atypical antipsychotics,Schizophrenia
selegiline,selegiline,"Dopaminergic antiparkinsonism agents, Monoamine oxidase inhibitors",ADHD|Depression|Major Depressive Disorde|Parkinson's Disease
selzentry,maraviroc,Chemokine receptor antagonist,AIDS/HIV|HIV Infection
semglee,insulin glargine,Insulin,Diabetes (Type 1)
sernivo,betamethasone topical,Topical steroids,Psoriasis
seroquel,quetiapine,Atypical antipsychotics,Bipolar Disorde|Bipolar Disorder|Borderline Personality Disorde|Depression|Generalized Anxiety Disorde|Insomnia|Obsessive Compulsive Disorde|Paranoid Disorde|Post Traumatic Stress Disorde|Schizoaffective Disorde|Schizophrenia|Tourette's Syndrome
seroquel xr,quetiapine,Atypical antipsychotics,Bipolar Disorde|Bipolar Disorder|Depression|Generalized Anxiety Disorde|Insomnia|Major Depressive Disorde|Obsessive Compulsive Disorde|Paranoid Disorde|Post Traumatic Stress Disorde|Schizoaffective Disorde|Schizophrenia
sertraline,sertraline,Selective serotonin reuptake inhibitors,Anxiety and Stress|Bipolar Disorde|Bipolar Disorder|Body Dysmorphic Disorde|Body Dysmorphic Disorder|Borderline Personality Disorde|Borderline Personality Disorder|Depression|Dissociative Identity Disorde|Dissociative Identity Disorder|Dysautonomia|Generalized Anxiety Disorde|Generalized Anxiety Disorder|Major Depressive Disorde|Major Depressive Disorder|Not Listed / Othe|Obsessive Compulsive Disorde|Obsessive Compulsive Disorder|Panic Disorde|Panic Disorder|Persistent Depressive Disorde|Persistent Depressive Disorder|Post Traumatic Stress Disorde|Post Traumatic Stress Disorder|Postpartum Depression|Premenstrual Dysphoric Disorde|Premenstrual Dysphoric Disorder|Social Anxiety Disorde|Social Anxiety Disorder|Somatoform Pain Disorder|Transverse Myelitis|Trichotillomania|Vulvodynia
setmelanotide,setmelanotide,Melanocortin receptor agonists,Weight Loss
seysara,sarecycline,Tetracyclines,Acne
siladryl allergy,diphenhydramine,"Anticholinergic antiemetics, Anticholinergic antiparkinson agents, Antihistamines, Miscellaneous anxiolytics, sedatives and hypnotics",Colds & Flu
silalite pak,triamcinolone acetonide,Topical steroids,Eczema
silapap childrens,acetaminophen,Miscellaneous analgesics,Pain
sildenafil,sildenafil,"Agents for pulmonary hypertension, Impotence agents","Erectile Dysfunction|Pulmonary Hypertension|Sexual Dysfunction, SSRI Induced"
siliq,brodalumab,Interleukin inhibitors,Plaque Psoriasis|Psoriasis
simply sleep,diphenhydramine,"Anticholinergic antiemetics, Anticholinergic antiparkinson agents, Antihistamines, Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
simponi,golimumab,TNF alfa inhibitors,Ankylosing Spondylitis|Psoriatic Arthritis|Rheumatoid Arthritis|Spondyloarthritis|Ulcerative Colitis
simponi aria,golimumab,TNF alfa inhibitors,Rheumatoid Arthritis
simvastatin,simvastatin,Statins,"Cardiovascular Risk Reduction|Cholesterol|High Cholesterol|High Cholesterol, Familial Heterozygous|High Cholesterol, Familial Homozygous|Hyperlipoproteinemia|Hyperlipoproteinemia Type III, Elevated beta-VLDL   IDL|Hyperlipoproteinemia Type IIa, Elevated LDL|Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL|Hyperlipoproteinemia Type IV, Elevated VLDL|Prevention of Cardiovascular Disease"
singulair,montelukast,Leukotriene modifiers,"Allergic Rhinitis|Asthma|Asthma, Maintenance|Bronchospasm Prophylaxis|COPD"
sitagliptin,sitagliptin,Dipeptidyl peptidase 4 inhibitors,"Diabetes (Type 2)|Diabetes, Type 2"
skyrizi,risankizumab,Interleukin inhibitors,Psoriasis
sleep aid,doxylamine,"Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
sleepinal,diphenhydramine,"Anticholinergic antiemetics, Anticholinergic antiparkinson agents, Antihistamines, Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
slo-niacin,niacin,"Miscellaneous antihyperlipidemic agents, Vitamins",Cholesterol|High Cholesterol
sloan's liniment,capsaicin topical,Miscellaneous topical agents,Osteoarthritis
sodium citrate,trisodium citrate dihydrate,Urinary pH modifiers,GERD (Heartburn)
sodium hyaluronate,sodium hyaluronate,Viscosupplementation agents,"Burns, External|Dermatitis|Dermatologic Lesion|Mucositis|Not Listed / Othe|Ophthalmic Viscoelastic Agent|Osteoarthritis"
solarcaine first aid medicated spray,benzocaine,Topical anesthetics,"Burns, External|Pain"
solifenacin,solifenacin,Urinary antispasmodics,Incontinence|Overactive Bladde|Urinary Frequency|Urinary Incontinence
solodyn,minocycline,Tetracyclines,Acne|Rosacea
solu-cortef,hydrocortisone,Glucocorticoids,IBD (Bowel)
solu-medrol,methylprednisolone,Glucocorticoids,"Asthma|Gout, Acute|Inflammatory Conditions|Osteoarthritis"
soluclenz rx,benzoyl peroxide topical,Topical acne agents,Acne
sominex,diphenhydramine,"Anticholinergic antiemetics, Anticholinergic antiparkinson agents, Antihistamines, Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
sonata,zaleplon,"Miscellaneous anxiolytics, sedatives and hypnotics",Insomnia
soothe caplets,bismuth subsalicylate,Antidiarrheals,Diarrhea
soriatane,acitretin,Antipsoriatics,Psoriasis
sorilux,calcipotriene topical,Topical antipsoriatics,Psoriasis
sotret,isotretinoin,"Miscellaneous antineoplastics, Miscellaneous uncategorized agents",Acne
spironolactone,spironolactone,"Aldosterone receptor antagonists, Potassium-sparing diuretics",Acne|Alopecia|Edema|Gender Dysphoria|Heart Failure|Heart Failure (Congestive Heart Failure)|High Blood Pressure|Hirsutism|Hypokalemia|Primary Hyperaldosteronism|Primary Hyperaldosteronism Diagnosis
spotex,erythromycin,"Topical acne agents, Topical antibiotics",Acne
spravato,esketamine,Miscellaneous antidepressants,Depression
spritam,levetiracetam,Pyrrolidine anticonvulsants,Seizures
sprix,ketorolac,Nonsteroidal anti-inflammatory drugs,Pain
starlix,nateglinide,Meglitinides,Diabetes (Type 2)
staxyn,vardenafil,Impotence agents,Erectile Dysfunction
steglatro,ertugliflozin,SGLT-2 inhibitors,Diabetes (Type 2)
stendra,avanafil,Impotence agents,Erectile Dysfunction
stopain,menthol topical,Topical rubefacient,Pain
strattera,atomoxetine,Adrenergic uptake inhibitors for ADHD,ADHD|Depression|Social Anxiety Disorde
stri-dex,salicylic acid topical,"Topical acne agents, Topical keratolytics",Acne
stridex maximum strength,salicylic acid pads,"Topical acne agents, Topical keratolytics",Acne
