query_id,label_idf_only_hit@20,label_idf_only_recall@20,label_idf_only_mrr,candidate_union_hit@20,candidate_union_recall@20,candidate_union_mrr,candidate_union_no_prior_hit@20,candidate_union_no_prior_recall@20,candidate_union_no_prior_mrr,candidate_union_no_bm25_hit@20,candidate_union_no_bm25_recall@20,candidate_union_no_bm25_mrr,candidate_union_no_prior_no_bm25_hit@20,candidate_union_no_prior_no_bm25_recall@20,candidate_union_no_prior_no_bm25_mrr
eval_0200,1.0,0.8,0.3333333333333333,1.0,0.8,1.0,1.0,0.8,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333
eval_0201,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0
eval_0204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0205,1.0,0.6666666666666666,0.2,1.0,0.6666666666666666,0.2,1.0,0.3333333333333333,0.058823529411764705,1.0,1.0,1.0,1.0,1.0,1.0
eval_0206,1.0,0.3333333333333333,0.08333333333333333,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0207,1.0,1.0,0.125,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,0.25
eval_0209,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0210,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,0.5
eval_0212,1.0,0.8,0.5,1.0,0.6,1.0,1.0,0.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0213,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0215,1.0,0.5,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0216,1.0,1.0,0.125,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333
eval_0217,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.25,1.0,1.0,1.0,1.0,1.0,1.0
eval_0218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0219,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,1.0
eval_0220,0.0,0.0,0.0,1.0,1.0,0.09090909090909091,1.0,1.0,0.06666666666666667,1.0,1.0,0.25,1.0,1.0,0.25
eval_0221,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
eval_0223,1.0,0.5,1.0,1.0,0.75,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,0.5,1.0
eval_0225,1.0,0.5,0.1,1.0,0.5,0.05263157894736842,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
